Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Teuvo Teravainen,20212022,CAR,L,L,14,4,7,11,4,2,0.79,3,7,1,3,0,1,0,1,34,11.8,16:54,100
Sebastian Aho,20212022,CAR,L,C,14,4,7,11,0,12,0.79,3,8,1,2,0,1,0,1,32,12.5,19:12,50.9
Vincent Trocheck,20212022,CAR,R,C,14,6,4,10,7,10,0.71,4,5,1,4,1,1,0,0,31,19.4,18:21,58.3
Tony DeAngelo,20212022,CAR,R,D,14,1,9,10,0,12,0.71,0,4,1,6,0,0,0,1,28,3.6,21:31,--
Seth Jarvis,20212022,CAR,R,C,14,3,5,8,-1,4,0.57,2,6,1,2,0,0,0,0,32,9.4,15:02,35.7
Jaccob Slavin,20212022,CAR,L,D,14,2,6,8,6,6,0.57,2,7,0,1,0,0,0,0,27,7.4,23:23,--
Max Domi,20212022,CAR,L,C,14,3,3,6,6,4,0.43,3,6,0,0,0,0,0,1,21,14.3,10:29,50
Jordan Staal,20212022,CAR,L,C,14,1,5,6,0,2,0.43,1,5,0,0,0,1,0,0,19,5.3,16:24,59.8
Nino Niederreiter,20212022,CAR,L,R,14,4,1,5,-5,10,0.36,3,4,1,1,0,0,0,1,27,14.8,16:31,36.4
Andrei Svechnikov,20212022,CAR,L,R,14,4,1,5,-1,14,0.36,3,4,1,1,0,0,0,0,36,11.1,16:12,--
Martin Necas,20212022,CAR,R,C,14,0,5,5,0,0,0.36,0,4,0,1,0,0,0,0,22,0,15:05,46.2
Brendan Smith,20212022,CAR,L,D,14,1,3,4,0,12,0.29,0,3,0,0,1,1,0,1,15,6.7,11:26,--
Brady Skjei,20212022,CAR,L,D,14,1,2,3,-1,8,0.21,1,3,0,0,0,0,0,0,32,3.1,21:20,--
Brett Pesce,20212022,CAR,R,D,14,1,2,3,0,6,0.21,1,3,0,0,0,0,0,0,28,3.6,22:14,--
Ian Cole,20212022,CAR,L,D,14,1,1,2,2,10,0.14,1,2,0,0,0,0,1,1,9,11.1,14:38,--
Jesperi Kotkaniemi,20212022,CAR,L,C,14,0,2,2,-4,2,0.14,0,2,0,0,0,0,0,0,18,0,11:45,55.1
Jesper Fast,20212022,CAR,R,R,14,1,0,1,-2,0,0.07,1,1,0,0,0,0,0,0,13,7.7,15:28,40
Jordan Martinook,20212022,CAR,L,L,6,0,1,1,0,4,0.17,0,1,0,0,0,0,0,0,9,0,9:57,80
Derek Stepan,20212022,CAR,R,C,3,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,2,0,8:37,47.6
Steven Lorentz,20212022,CAR,L,C,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,7:53,0
